name,price,link
Vivo_X80,"169,999 ",/Vivo_X80
Vivo_X70-Pro,"139,999 ",/Vivo_X70-Pro
Vivo_X60-Pro,"129,999 ",/Vivo_X60-Pro
Vivo_V23,"99,999 ",/Vivo_V23
Vivo_V23e-256GB,"69,999 ",/Vivo_V23e-256GB
Vivo_V23e,"64,999 ",/Vivo_V23e
Vivo_V21,"59,999 ",/Vivo_V21
Vivo_Y55,"57,999 ",/Vivo_Y55
Vivo_Y33s,"51,999 ",/Vivo_Y33s
Vivo_Y33T,"49,999 ",/Vivo_Y33T
Vivo_V21e,"46,999 ",/Vivo_V21e
Vivo_Y21t,"44,999 ",/Vivo_Y21t
Vivo_V20-SE,"41,999 ",/Vivo_V20-SE
Vivo_Y53s,"40,999 ",/Vivo_Y53s
Vivo_S1-Pro,"39,999 ",/Vivo_S1-Pro
Vivo_Y21,"37,999 ",/Vivo_Y21
Vivo_S1-4GB,"35,999 ",/Vivo_S1-4GB
Vivo_Y51s,"35,999 ",/Vivo_Y51s
Vivo_Y15C,"33,999 ",/Vivo_Y15C
Vivo_Y17,"33,999 ",/Vivo_Y17
Vivo_Y51,"32,999 ",/Vivo_Y51
Vivo_Y31,"31,999 ",/Vivo_Y31
Vivo_Y20s,"30,999 ",/Vivo_Y20s
Vivo_Y30-128GB,"29,999 ",/Vivo_Y30-128GB
Vivo_Y15s,"28,999 ",/Vivo_Y15s
Vivo_Y30,"27,999 ",/Vivo_Y30
Vivo_Y20,"26,999 ",/Vivo_Y20
Vivo_Y20-2021,"26,999 ",/Vivo_Y20-2021
Vivo_Y01,"23,999 ",/Vivo_Y01
Vivo_Y12s,"22,499 ",/Vivo_Y12s
Vivo_Y12A,"22,499 ",/Vivo_Y12A
Vivo_Y12,"20,999 ",/Vivo_Y12
Vivo_Y1s,"17,999 ",/Vivo_Y1s
Vivo_Y11-2GB,"17,999 ",/Vivo_Y11-2GB
Vivo_V17,N/A ,/Vivo_V17
Vivo_V20,N/A ,/Vivo_V20
Vivo_Y91c,N/A ,/Vivo_Y91c
Vivo_V17-Pro,N/A ,/Vivo_V17-Pro
Vivo_Y91D,N/A ,/Vivo_Y91D
Vivo_S1,N/A ,/Vivo_S1
Vivo_Y11,N/A ,/Vivo_Y11
Vivo_V19,N/A ,/Vivo_V19
Vivo_Y90,Price N/A ,/Vivo_Y90
Vivo_Y91,Price N/A ,/Vivo_Y91
Vivo_V9-Youth,Price N/A ,/Vivo_V9-Youth
Vivo_V15-Pro,Price N/A ,/Vivo_V15-Pro
Vivo_V15,Price N/A ,/Vivo_V15
Vivo_Y15,Price N/A ,/Vivo_Y15
Vivo_Y95,Price N/A ,/Vivo_Y95
Vivo_X90-Pro-Plus,Expected Price ,/Vivo_X90-Pro-Plus
Vivo_X90,Expected Price ,/Vivo_X90
Vivo_X90-Pro,Expected Price ,/Vivo_X90-Pro
Vivo_Y52t,Expected Price ,/Vivo_Y52t
Vivo_Y32t,Expected Price ,/Vivo_Y32t
Vivo_X-Fold-Plus,Expected Price ,/Vivo_X-Fold-Plus
Samsung_Galaxy-S22-Ultra,"331,999 ",/Samsung_Galaxy-S22-Ultra
Samsung_Galaxy-Z-Fold-3,"314,999 ",/Samsung_Galaxy-Z-Fold-3
Samsung_Galaxy-S21-Ultra,"242,999 ",/Samsung_Galaxy-S21-Ultra
Samsung_Galaxy-S22,"232,999 ",/Samsung_Galaxy-S22
Samsung_Galaxy-Note-20-Ultra,"219,999 ",/Samsung_Galaxy-Note-20-Ultra
Samsung_Galaxy-Z-Flip-3,"199,999 ",/Samsung_Galaxy-Z-Flip-3
Samsung_Galaxy-S21-Plus,"184,999 ",/Samsung_Galaxy-S21-Plus
Samsung_Galaxy-Note-20," 179,999 ",/Samsung_Galaxy-Note-20
Samsung_Galaxy-S21,"176,499 ",/Samsung_Galaxy-S21
Samsung_Galaxy-S21-FE-256GB,"172,999 ",/Samsung_Galaxy-S21-FE-256GB
Samsung_Galaxy-S20,"170,999 ",/Samsung_Galaxy-S20
Samsung_Galaxy-S21-FE,"162,999 ",/Samsung_Galaxy-S21-FE
Samsung_Galaxy-A73,"133,499 ",/Samsung_Galaxy-A73
Samsung_Galaxy-S20-FE,"122,499 ",/Samsung_Galaxy-S20-FE
Samsung_Galaxy-S10-Lite,"113,999 ",/Samsung_Galaxy-S10-Lite
Samsung_Galaxy-A53,"103,999 ",/Samsung_Galaxy-A53
Samsung_Galaxy-Note-10-Lite,"99,999 ",/Samsung_Galaxy-Note-10-Lite
Samsung_Galaxy-A52s-256GB,"88,999 ",/Samsung_Galaxy-A52s-256GB
Samsung_Galaxy-A33-8GB,"86,999 ",/Samsung_Galaxy-A33-8GB
Samsung_Galaxy-A72-256GB,"84,999 ",/Samsung_Galaxy-A72-256GB
Samsung_Galaxy-A72,"82,999 ",/Samsung_Galaxy-A72
Huawei_P30-Pro,"157,600 ",/Huawei_P30-Pro
Samsung_Galaxy-M52,"82,999 ",/Samsung_Galaxy-M52
Samsung_Galaxy-A52s,"71,999 ",/Samsung_Galaxy-A52s
Samsung_Galaxy-A52,"65,999 ",/Samsung_Galaxy-A52
Samsung_Galaxy-A33,"61,999 ",/Samsung_Galaxy-A33
Samsung_Galaxy-M51,"61,999 ",/Samsung_Galaxy-M51
Samsung_Galaxy-A71,"56,999 ",/Samsung_Galaxy-A71
Samsung_Galaxy-A51-8GB,"54,999 ",/Samsung_Galaxy-A51-8GB
Samsung_Galaxy-A23,"51,999 ",/Samsung_Galaxy-A23
Samsung_Galaxy-A32,"50,999 ",/Samsung_Galaxy-A32
Samsung_Galaxy-A51,"49,999 ",/Samsung_Galaxy-A51
Samsung_Galaxy-M31s,"47,999 ",/Samsung_Galaxy-M31s
Samsung_Galaxy-A13-128GB,"47,999 ",/Samsung_Galaxy-A13-128GB
Samsung_Galaxy-M31,"44,999 ",/Samsung_Galaxy-M31
Samsung_Galaxy-A13,"43,999 ",/Samsung_Galaxy-A13
Samsung_Galaxy-A22-6GB,"40,999 ",/Samsung_Galaxy-A22-6GB
Samsung_Galaxy-A30s-128GB,"38,999 ",/Samsung_Galaxy-A30s-128GB
Samsung_Galaxy-A22,"37,999 ",/Samsung_Galaxy-A22
Samsung_Galaxy-A30s,"36,999 ",/Samsung_Galaxy-A30s
Samsung_Galaxy-A31,"36,999 ",/Samsung_Galaxy-A31
Samsung_Galaxy-A21s-128GB,"33,999 ",/Samsung_Galaxy-A21s-128GB
Samsung_Galaxy-A03-4GB,"30,799 ",/Samsung_Galaxy-A03-4GB
Samsung_Galaxy-A20s,"30,500 ",/Samsung_Galaxy-A20s
Samsung_Galaxy-A21s,"29,999 ",/Samsung_Galaxy-A21s
Samsung_Galaxy-A20,"28,500 ",/Samsung_Galaxy-A20
Huawei_Mate-20-Pro,"119,999 ",/Huawei_Mate-20-Pro
Huawei_Nova-9,"107,999 ",/Huawei_Nova-9
Huawei_P20-Pro,"99,999 ",/Huawei_P20-Pro
Huawei_Nova-8-Pro,"97,999 ",/Huawei_Nova-8-Pro
Huawei_P30,"89,999  ",/Huawei_P30
Huawei_Y9a,"43,999 ",/Huawei_Y9a
